Drug Name,CNN_CNN,Daylight_AAC,Morgan_AAC,Morgan_CNN,MPNN_CNN
US_329,214.24,854.14,1246.05,4174.04,935.79
US_373,215.14,564.59,1159.35,818.57,901.76
US_469,215.16,697.21,2898.8,5384.25,23.69
646_64,215.57,87.76,467.47,739.87,74.03
paper_11,216.84,121.7,316.3,12697.53,1122.68
646_117,217.04,532.06,50248.24,2771.71,0.19
US_171,217.28,200.6,54926.67,15218.96,4608.17
US_19,217.74,788.61,410.32,367.52,3119.53
US_212,217.9,229.84,447.0,518.74,731.39
paper_10,218.23,158.41,964.56,2639.79,2378.72
US_95,218.26,335.74,2723.54,869.78,3044.75
646_44,220.37,166.68,406.06,133.36,1448.13
US_4,221.49,106.05,634.56,5736.87,7793.48
US_192,223.18,1006.96,410.73,660.36,7455.96
646_78,223.18,2070.64,1005.88,1185.32,7336.41
US_58,225.35,259.11,587.34,355.19,4569.68
US_5,225.99,235.82,783.88,712.84,5171.2
US_178,226.28,484.57,1977.9,3840.17,10600.08
US_400,231.05,832.3,584.04,550.14,2567.52
US_453,231.81,914.79,543.21,1195.8,1707.95
US_480,232.64,703.89,356.15,2212.09,1857.52
US_481,232.64,717.29,1046.0,4073.56,1811.87
US_23,232.7,1271.3,294.71,134.37,2023.2
US_429,233.7,1944.8,446.62,423.5,5195.69
US_94,235.76,110.94,668.63,934.52,2420.04
US_132,237.82,476.18,421.46,296.54,0.85
646_30,238.12,2010.29,1235.08,1743.34,2822.73
31678_43,238.32,706.0,55417.83,36287.67,24.01
31678_44,238.32,466.78,60294.17,21861.39,0.04
US_369,238.74,669.68,338.77,168.89,5291.69
US_338,239.35,280.9,132.71,780.92,4662.1
US_387,240.32,153.31,863.56,1197.72,1265.77
646_79,241.11,776.46,111022.28,12830.54,2203.63
US_207,242.5,402.05,171.96,1386.9,0.47
US_175,242.84,697.79,342.23,1829.41,2946.37
paper_14,244.87,110.17,211.69,293.91,4044.54
US_317,245.07,393.35,212.32,291.32,2907.99
646_118,245.95,270.79,1809.18,1434.32,3616.64
US_35,246.48,201.16,1202.66,1225.4,2699.15
US_362,246.77,3187.06,897.13,803.57,0.25
US_402,246.88,2613.22,515.46,363.78,18.08
646_74,247.46,1240.68,31203.11,3095.0,2226.29
paper_19,247.92,123.79,622.59,2307.63,4482.62
US_115,248.25,286.36,186.94,110.96,4225.95
US_348,248.28,2375.4,374.7,263.64,3236.36
US_36,248.34,562.73,684.29,2497.56,1879.46
US_375,248.42,600.8,1008.09,518.86,3839.85
US_206,248.76,852.02,776.94,294.71,1547.82
US_250,249.38,785.79,546.57,4917.85,4020.64
US_16,250.98,399.72,81.12,287.54,7753.01
US_106,252.67,138.79,639.53,1783.61,2359.24
US_321,252.87,334.67,585.52,4253.36,6951.91
US_399,255.51,1290.84,592.76,383.33,250.24
US_84,255.6,312.57,553.28,2738.93,4163.88
US_386,256.23,282.52,1981.58,2506.18,4046.67
31678_30,258.7,83.35,12908.86,29508.29,0.0
US_232,259.14,710.09,1168.34,3688.24,975.94
